# source_id     	ra      	dec     	x	y	plx	pmra	pmdec	plxe	pmrae	pmdece	pmcorr	g_mag	bp_rp	Sigma	qflag	memberprob
1328020655476891776	250.205992	 36.092337	-0.1744	-0.3673	0.5478	3.6988	-14.559	0.3367	0.3267	0.4188	0.0872	19.9405	1.8743	1.781	2	0.00000
1328020655476890496	250.209355	 36.090591	-0.1717	-0.3691	0.2674	-3.2762	-3.0100	0.5034	0.4380	0.6749	0.0899	20.3724	0.8956	1.779	2	0.93278
1328020689836630528	250.209942	 36.092614	-0.1712	-0.3671	0.2791	-0.6349	6.5723	0.0929	0.0861	0.1079	0.1443	17.9060	0.9995	1.788	3	0.00000
1328020689836631808	250.213663	 36.094146	-0.1682	-0.3655	1.5045	-5.3844	9.8749	0.1796	0.1687	0.2111	0.1293	19.0454	2.1848	1.8	2	0.00000
1328020694139756672	250.219167	 36.095160	-0.1638	-0.3645	0.4694	-6.4048	-8.0139	0.0295	0.0275	0.0345	0.1510	15.8100	0.8198	1.813	3	0.00000
1328020591061941888	250.229141	 36.096213	-0.1557	-0.3635	0.3767	-9.5981	-17.907	0.0581	0.0597	0.0683	0.1058	17.0992	0.8039	1.833	3	0.00000
1328020724196377728	250.187799	 36.101350	-0.1891	-0.3583	1.1125	-11.006	-0.4232	0.3315	0.3536	0.4042	0.0875	19.8940	1.9631	1.788	2	0.00000
1328020724196378752	250.183851	 36.101641	-0.1923	-0.3580	0.6610	0.5572	-15.599	0.0450	0.0447	0.0531	0.1418	16.6641	1.0568	1.782	3	0.00000
1328020728499495168	250.192507	 36.107810	-0.1853	-0.3518	0.2178	-2.6714	-6.6875	0.0520	0.0503	0.0607	0.1762	16.9344	0.8202	1.823	3	0.00000
1328020797221060224	250.222587	 36.104722	-0.1610	-0.3550	5.4210	-13.283	-84.351	0.0698	0.0653	0.0809	0.1494	17.1394	2.9375	1.859	0	0.00000
1328020831580235776	250.231923	 36.116367	-0.1534	-0.3433	0.0341	-1.2939	-5.6047	0.4383	0.4424	0.4922	-0.0148	20.2238	1.2831	1.922	0	0.00000
1328024370633852288	250.112364	 36.130611	-0.2499	-0.3288	2.9454	1.5557	-10.872	0.4962	0.4805	0.5780	0.0925	20.2090	2.5153	1.751	0	0.00000
