# source_id     	ra      	dec     	x	y	plx	pmra	pmdec	plxe	pmrae	pmdece	pmcorr	g_mag	bp_rp	Sigma	qflag	memberprob
5890203087009513728	231.956966	-50.509101	-0.0292	 0.1639	0.0873	-3.9572	-4.1552	0.3254	0.2774	0.2456	-0.1268	19.1191	1.5470	92.17	3	0.00012
5890203087028563328	231.955627	-50.510784	-0.0300	 0.1622	-0.4615	-3.6837	-3.5952	0.4038	0.3593	0.3113	-0.0329	19.3964	1.3212	92.45	3	0.00658
5890203091328598016	231.954681	-50.511166	-0.0306	 0.1619	0.6048	-4.4622	-5.5967	0.5354	0.4439	0.4172	-0.0484	19.8286	1.9764	92.5	2	0.00000
5890202953889679232	231.915438	-50.516053	-0.0556	 0.1569	0.1115	-2.0493	-5.1135	0.3341	0.2841	0.2537	-0.0759	19.1001	1.5193	92.16	3	0.00000
5890202953891193600	231.917160	-50.516502	-0.0545	 0.1565	1.9495	-5.0642	-7.5014	2.1225	2.4433	2.2556	-0.2243	20.6328	2.0378	92.31	0	0.05120
5890202953889674496	231.915959	-50.516499	-0.0553	 0.1565	0.0371	-4.5474	-2.4288	1.2875	1.0057	1.5639	-0.2163	20.4198	nan	92.27	0	0.13837
5890202949570548480	231.916291	-50.516952	-0.0551	 0.1560	0.0146	-8.1157	-5.5213	0.5975	0.4887	0.4203	-0.0136	19.8443	1.5166	92.36	2	0.00000
5890202777790918528	231.920080	-50.517068	-0.0526	 0.1559	-0.2341	-5.7138	-4.8668	0.4242	0.3596	0.3133	-0.0048	19.4296	1.4692	92.53	3	0.00001
5890202782090974976	231.921046	-50.517292	-0.0520	 0.1557	-0.1827	1.2978	-2.2122	1.4207	1.1835	1.4362	-0.2357	20.4892	2.3140	92.61	0	0.00011
5890203155728986368	231.943306	-50.511486	-0.0379	 0.1615	0.0876	-5.8785	-4.5838	0.0927	0.0774	0.0775	-0.2149	17.1931	1.8044	92.28	3	0.00000
5890202782090979712	231.933351	-50.512658	-0.0442	 0.1604	0.5521	-4.5744	-4.2346	0.4244	0.3708	0.3227	-0.0241	19.4345	1.5458	92.2	2	0.01677
5890202782092526208	231.935357	-50.512161	-0.0429	 0.1609	0.6757	-6.3411	-4.9930	1.1252	1.0456	1.3415	-0.3708	20.4197	1.6357	92.17	2	0.03653
5890203160048093056	231.941062	-50.511884	-0.0393	 0.1611	-0.2650	-4.6375	-3.0514	0.3441	0.2804	0.2601	-0.0704	19.1316	1.7427	92.29	2	0.61513
5890202782090971392	231.938982	-50.512338	-0.0406	 0.1607	0.3315	0.0024	-1.5707	0.2381	0.2031	0.1914	-0.1568	18.7356	1.7225	92.31	3	0.00000
5890202782090966400	231.939826	-50.512796	-0.0401	 0.1602	0.2473	-6.5723	-4.4787	0.5646	0.4799	0.4039	-0.0294	19.8120	1.6386	92.42	2	0.00054
5890203160049659392	231.947070	-50.510312	-0.0355	 0.1627	2.8987	-11.351	-6.4498	1.7663	2.0451	1.1493	0.1281	20.7733	nan	92.16	0	0.00817
5890203160083150336	231.947041	-50.513195	-0.0355	 0.1598	0.1212	-5.0839	-3.2750	0.0582	0.0453	0.0468	-0.2577	16.2333	1.6173	92.7	0	0.98116
5890203091328600704	231.951657	-50.511637	-0.0326	 0.1614	0.5206	-4.3274	-2.5794	0.3725	0.3318	0.2773	-0.0374	19.1108	1.3957	92.52	0	0.08050
5890203091330178560	231.953292	-50.511783	-0.0315	 0.1612	-0.8195	-8.0992	-1.6461	1.2060	1.4136	1.3484	-0.3750	20.3818	1.2229	92.59	2	0.09547
5890203091363673216	231.951799	-50.512163	-0.0325	 0.1609	-0.2370	-9.7539	-2.7210	0.3532	0.2834	0.2699	-0.1278	19.0994	1.4463	92.62	0	0.00000
