# source_id     	ra      	dec     	x	y	plx	pmra	pmdec	plxe	pmrae	pmdece	pmcorr	g_mag	bp_rp	Sigma	qflag	memberprob
5921766496726594432	264.546215	-53.492530	-0.3743	 0.1802	0.1911	-1.1969	-1.6329	0.1563	0.1538	0.1208	-0.1071	18.2565	nan	35.99	0	0.00000
5921766496745284992	264.546424	-53.493026	-0.3742	 0.1797	0.5551	1.2554	-3.4210	0.0689	0.0689	0.0552	-0.0419	16.8038	1.1736	36	3	0.00000
5921765019276534400	264.542607	-53.498711	-0.3764	 0.1739	0.2436	-2.7793	-5.5781	0.1186	0.1154	0.0933	-0.1568	17.8265	1.0858	36	3	0.00000
5921765014960108288	264.539489	-53.500046	-0.3782	 0.1726	0.0715	-0.4423	-5.7325	0.1471	0.1415	0.1141	-0.1404	18.1910	1.0582	35.98	3	0.00000
5921765019257838208	264.543990	-53.501254	-0.3756	 0.1714	0.5383	0.7847	1.0505	0.2265	0.2198	0.1756	-0.1076	18.8499	1.6302	36.04	3	0.00000
5921764984916795520	264.534342	-53.505242	-0.3813	 0.1674	-0.3820	-5.5556	-6.1367	0.6380	0.6588	0.5553	0.0002	19.9759	1.5190	35.97	0	0.00000
5921764984898098816	264.536264	-53.508034	-0.3801	 0.1646	0.0243	-5.5445	-7.3176	0.4483	0.4643	0.3590	-0.1482	19.8717	0.9780	36.01	2	0.00000
5921765019269494656	264.540854	-53.504854	-0.3774	 0.1678	0.3355	-3.2163	-4.2716	0.9096	0.8858	0.7116	-0.1931	20.4797	1.1153	36.03	2	0.00000
5921765019257835008	264.544367	-53.505320	-0.3753	 0.1673	0.5009	-3.1162	-8.1580	0.3825	0.3539	0.2808	-0.0672	19.5662	1.0088	36.07	2	0.00000
5921765019269492096	264.546175	-53.505734	-0.3742	 0.1669	0.0557	-2.6675	-0.7008	0.6310	0.5730	0.4581	-0.0881	20.2101	1.2162	36.09	2	0.00000
5921764980600631040	264.538184	-53.506129	-0.3790	 0.1665	0.3790	-3.0783	-8.4098	0.2120	0.2167	0.1805	-0.2156	18.7817	1.1202	36.02	3	0.00000
5921764984898096512	264.538281	-53.509517	-0.3789	 0.1631	-0.4812	-5.2790	-9.5589	0.3012	0.2900	0.2340	-0.0923	19.2835	1.2640	36.04	3	0.00000
5921764984916793600	264.540933	-53.509290	-0.3773	 0.1634	0.1519	-2.5754	-3.2251	0.0420	0.0417	0.0344	-0.1646	15.8295	1.3689	36.07	3	0.00000
5921764980599925760	264.535268	-53.512366	-0.3806	 0.1603	0.4380	-4.9149	-10.910	0.0561	0.0561	0.0450	-0.0966	16.4425	1.0567	36.03	3	0.00000
5921764881833181184	264.528974	-53.517821	-0.3843	 0.1548	3.1599	-0.7887	-6.9560	2.8688	2.3905	1.7038	0.3801	20.9241	1.3754	36.01	2	0.00000
5921764881818881024	264.530741	-53.514727	-0.3833	 0.1579	0.3188	0.9160	-3.6460	0.1532	0.1968	0.1223	-0.1058	17.9251	0.9932	36.01	1	0.00000
5921764877520708992	264.531776	-53.515249	-0.3827	 0.1574	0.8863	3.9984	-10.946	0.0225	0.0227	0.0182	-0.0917	14.4267	0.9056	36.02	1	0.00000
5921764984912396544	264.543090	-53.513945	-0.3760	 0.1587	-0.0380	-2.1500	-9.5085	1.0496	1.2334	0.8386	0.1043	20.6009	1.2108	36.13	2	0.00000
5921764881832800896	264.541467	-53.519371	-0.3769	 0.1533	3.3803	-0.8140	4.7735	1.6618	1.4885	1.0521	0.2008	20.8110	1.4411	36.15	0	0.00000
5921764950543587584	264.525225	-53.520925	-0.3865	 0.1516	-0.0648	-3.4139	-4.6863	0.9376	1.0457	0.8578	-0.3528	20.3642	1.8874	35.99	2	0.00000
5921764877521411328	264.527723	-53.520812	-0.3851	 0.1518	0.2745	-4.0653	-9.9215	0.2415	0.2613	0.2085	-0.0657	18.9488	1.0967	36.02	3	0.00000
