# source_id     	ra      	dec     	x	y	plx	pmra	pmdec	plxe	pmrae	pmdece	pmcorr	g_mag	bp_rp	Sigma	qflag	memberprob
6632574135285824128	286.912446	-59.891288	-0.4036	 0.0908	0.5465	-1.9622	-18.179	0.0596	0.0494	0.0458	0.0859	16.7683	0.9418	7.09	3	0.00000
6632573379369203456	286.916021	-59.895991	-0.4018	 0.0861	1.1008	-2.8561	-1.2366	0.4920	0.4033	0.3845	0.1614	19.9040	2.3249	7.131	0	0.00000
6632574302787085056	286.915885	-59.877070	-0.4021	 0.1051	0.2987	2.3996	-18.273	0.1358	0.1146	0.1215	0.2073	18.2242	0.8093	7.064	3	0.00000
6632574234067601664	286.922174	-59.883445	-0.3989	 0.0987	0.2078	2.7561	-5.4144	0.1372	0.1213	0.1200	0.2062	18.1619	0.8952	7.131	3	0.00000
6632574234067598336	286.927696	-59.885602	-0.3961	 0.0966	0.3285	-0.1194	-3.0835	0.0498	0.0421	0.0387	0.0467	16.3613	0.8075	7.178	3	0.00000
6632574612024798208	286.943163	-59.836422	-0.3889	 0.1459	0.0394	-0.0488	-4.9846	0.3052	0.2725	0.2552	0.3176	19.4055	1.0835	7.067	1	0.00000
6632574543305145472	286.935055	-59.845520	-0.3928	 0.1367	0.2269	-3.2397	-3.7991	0.0177	0.0154	0.0147	0.0598	12.8948	0.8214	7.059	1	0.99395
6632574543305314432	286.944983	-59.840098	-0.3879	 0.1422	-0.0078	-7.6525	-3.7873	0.1122	0.0905	0.0837	0.1172	17.6775	0.8168	7.098	3	0.00000
6632574543305314304	286.949133	-59.839827	-0.3858	 0.1425	2.4516	5.9008	-33.178	0.1918	0.1638	0.1726	0.2462	18.6584	2.6999	7.125	0	0.00000
6632574547604541952	286.948087	-59.841996	-0.3863	 0.1403	0.5544	6.6440	-7.8698	0.4198	0.3556	0.3630	0.2596	19.8398	1.4972	7.129	2	0.00000
6632574989981960320	286.959449	-59.818133	-0.3809	 0.1642	0.5145	6.3925	-5.3612	0.1747	0.1565	0.1805	0.4139	18.4581	1.0223	7.075	3	0.00000
6632574994278771712	286.955102	-59.821612	-0.3830	 0.1607	0.5376	-7.9544	-19.670	1.5601	1.2726	1.3482	0.1762	20.7129	1.7047	7.066	2	0.00000
6632574989981953536	286.960811	-59.821420	-0.3802	 0.1610	-0.4241	-3.2654	-3.8712	0.2902	0.2295	0.2211	0.2287	19.2275	1.0696	7.103	3	0.97828
6632577949214413312	286.977655	-59.807744	-0.3719	 0.1747	0.1560	-6.9843	-3.2299	0.5145	0.4808	0.4829	0.3402	20.0360	1.9819	7.131	2	0.00000
6632577949214413056	286.977384	-59.809146	-0.3720	 0.1733	0.1542	-3.3044	-3.6412	0.1337	0.1180	0.1256	0.2863	18.1333	0.7888	7.138	3	0.91853
6632574994279284224	286.979186	-59.809260	-0.3711	 0.1732	0.2639	-3.2441	-3.8947	0.0525	0.0462	0.0446	0.1680	16.5419	0.8628	7.151	3	0.99817
6632574994279283200	286.977140	-59.817924	-0.3720	 0.1646	-0.1346	-2.3331	6.6261	0.3490	0.2976	0.2892	0.2172	19.4244	1.5579	7.19	3	0.00000
6632574994279282432	286.983711	-59.820382	-0.3687	 0.1621	0.8165	9.3702	-4.1458	0.0526	0.0442	0.0423	0.1216	16.4724	1.0463	7.245	3	0.00000
6632574616321824640	286.952234	-59.830879	-0.3844	 0.1515	-0.8207	-4.9045	-2.0782	1.4538	1.5461	1.6397	0.3592	20.6540	0.8608	7.099	3	0.36548
6632574616324018944	286.951956	-59.831659	-0.3845	 0.1507	-0.0318	-2.7421	-3.2836	0.4077	0.3635	0.3582	0.2619	19.8349	0.8764	7.101	2	0.81450
6632574543305327360	286.958828	-59.833106	-0.3810	 0.1493	-0.1059	0.5528	-4.2722	0.4494	0.3998	0.3691	0.2105	19.9644	0.7742	7.155	3	0.00000
6632574989981937536	286.957141	-59.828145	-0.3819	 0.1542	0.1892	-3.6302	-7.0506	0.2988	0.2717	0.2474	0.1999	19.4317	1.1319	7.117	3	0.00000
6632574925558634112	286.970966	-59.841110	-0.3749	 0.1413	-0.5468	3.6456	-8.8219	1.2680	1.4896	1.4694	0.3600	20.6746	1.5707	7.272	0	0.00000
6632574989981942016	286.970933	-59.826174	-0.3750	 0.1563	0.5835	-1.6612	-5.0716	0.1972	0.1769	0.1874	0.3342	18.7885	1.0772	7.197	3	0.00000
6632574925558413952	286.972588	-59.827259	-0.3742	 0.1552	-0.5002	1.3850	-7.0026	0.7102	0.7012	0.7680	0.3351	20.3793	1.0339	7.214	2	0.00000
6632574921263671936	286.977273	-59.825450	-0.3719	 0.1570	1.4019	4.0912	-4.5168	0.3528	0.3028	0.3026	0.3345	19.4916	2.5076	7.233	2	0.00000
6632574925558635776	286.983843	-59.824257	-0.3686	 0.1583	-0.2988	-0.6411	-1.9137	1.0109	0.9828	1.1873	0.0973	20.6996	0.2405	7.266	3	0.06015
6632574955622214144	286.989990	-59.821540	-0.3655	 0.1610	-0.0862	1.8179	-1.9794	0.3469	0.2898	0.2742	0.2556	19.5059	1.0455	7.286	3	0.00000
6632574925559804416	286.985154	-59.828588	-0.3679	 0.1539	0.7098	-8.8244	-14.613	0.0333	0.0263	0.0250	0.0399	15.3651	0.8832	7.293	3	0.00000
6632574921263670656	286.984979	-59.830827	-0.3679	 0.1517	0.6577	4.6533	-10.969	0.2983	0.2322	0.2281	0.1258	19.3650	1.6053	7.302	2	0.00000
6632574715104006016	286.987264	-59.839449	-0.3667	 0.1431	-0.7358	0.8492	-8.3673	0.8829	0.6802	0.8555	-0.1120	20.5003	1.0385	7.348	2	0.00000
6632574749463743616	287.002195	-59.839737	-0.3592	 0.1429	0.7633	-2.3304	-3.6141	0.3390	0.2741	0.2759	0.1768	19.5383	1.7354	7.423	2	0.31882
6632574302787111936	286.929518	-59.860268	-0.3954	 0.1219	0.2308	-1.9171	-2.5864	0.1242	0.0994	0.0899	0.1351	17.9305	0.9186	7.089	3	0.00000
6632574302787114752	286.936156	-59.858985	-0.3921	 0.1233	0.4112	-3.2473	-4.0309	0.1348	0.1126	0.1152	0.1952	18.1789	0.7727	7.129	3	0.99348
6632574307086373760	286.921554	-59.864647	-0.3994	 0.1175	0.8442	-0.5400	-4.2069	0.4182	0.3486	0.3326	0.1324	19.7730	1.7959	7.053	2	0.00000
6632574307084516608	286.931324	-59.865636	-0.3945	 0.1166	0.1829	2.5604	-8.2466	0.0670	0.0561	0.0517	0.0619	16.9611	0.8587	7.125	3	0.00000
6632574302787097984	286.923522	-59.868969	-0.3984	 0.1132	0.6254	-3.9979	-5.1515	0.1446	0.1191	0.1250	0.2038	18.2944	1.2468	7.085	3	0.00000
6632574302788375808	286.928685	-59.871120	-0.3957	 0.1111	1.2826	-2.3712	-4.2223	0.7351	0.6882	0.7686	0.1498	20.3809	1.3591	7.129	2	0.71876
6632574307082144384	286.930221	-59.869046	-0.3950	 0.1132	0.8116	0.6719	-3.5596	0.6894	0.6684	0.7397	0.2035	20.3635	1.5681	7.131	2	0.00000
6632574302787108736	286.935165	-59.862015	-0.3926	 0.1202	0.0993	-3.2513	-4.1065	0.1595	0.1328	0.1381	0.2149	18.4608	0.7270	7.136	3	0.99539
6632574341443078912	286.949531	-59.857964	-0.3854	 0.1244	0.6396	-0.7127	-3.0306	0.7872	0.7658	0.8987	0.1184	20.5011	0.8499	7.215	2	0.03421
6632574268427366528	286.964541	-59.864944	-0.3778	 0.1175	-0.0324	-2.6430	-16.947	0.4162	0.3423	0.3229	0.1565	19.7145	0.9584	7.327	1	0.00000
6632574302787093376	286.929129	-59.872401	-0.3955	 0.1098	0.6544	-0.9159	-3.4069	0.3517	0.2761	0.2535	0.1716	19.4666	1.2066	7.137	2	0.00000
6632574238363721984	286.946673	-59.876438	-0.3866	 0.1059	-1.0640	-2.8031	-2.1497	0.8950	0.8046	1.0708	-0.0467	20.5837	0.7367	7.269	2	0.60163
6632573478154652800	286.941128	-59.889396	-0.3893	 0.0929	0.3611	-4.8522	-3.9254	0.2639	0.2136	0.2077	0.1966	19.2106	0.9260	7.277	3	0.00000
6632573482451132928	286.946480	-59.889128	-0.3866	 0.0932	0.6209	1.4078	-5.0877	0.0137	0.0116	0.0109	0.0218	13.2735	0.8039	7.306	3	0.00000
6632574268427348864	286.952929	-59.875116	-0.3835	 0.1072	1.0423	-1.2147	0.4731	0.2121	0.1845	0.1964	0.3420	18.7948	1.9131	7.299	3	0.00000
6632573516810529408	286.959613	-59.877642	-0.3801	 0.1047	0.8508	1.4808	-5.3126	0.0152	0.0126	0.0115	0.0315	12.8925	1.1748	7.341	1	0.00000
6632573516808147072	286.967663	-59.873515	-0.3761	 0.1089	0.4213	3.1951	-6.1870	0.3606	0.3040	0.3172	0.2725	19.6231	1.6006	7.369	2	0.00000
6632573516810528128	286.969300	-59.874581	-0.3753	 0.1079	0.4729	-8.0344	-6.3716	0.1088	0.0919	0.0870	0.1211	17.7976	1.1631	7.381	3	0.00000
6632573516810527104	286.975498	-59.876988	-0.3722	 0.1055	1.1847	6.3255	-22.391	0.0215	0.0175	0.0161	0.0401	14.4275	1.0529	7.42	3	0.00000
6632573512513096192	286.966964	-59.880840	-0.3764	 0.1016	0.4786	4.3574	-7.4794	0.0622	0.0512	0.0510	0.1352	16.8461	0.9600	7.387	3	0.00000
6632573516812381184	286.969922	-59.883283	-0.3749	 0.0992	0.5489	1.4038	-8.1483	0.4161	0.3402	0.3357	0.2490	19.8588	1.3468	7.409	2	0.00000
6632573516810027008	286.968015	-59.884761	-0.3758	 0.0977	1.0442	12.8644	-4.4967	0.9080	1.0474	1.0394	0.1953	20.6387	1.4229	7.404	0	0.00000
6632573448091049984	286.971058	-59.887375	-0.3743	 0.0951	0.6800	3.7902	-11.288	0.0658	0.0516	0.0470	-0.0401	16.6436	1.0636	7.427	3	0.00000
6632573512512994944	286.970249	-59.878547	-0.3748	 0.1039	1.4967	-7.8857	2.3090	0.0200	0.0164	0.0152	0.0499	14.2593	0.9116	7.397	3	0.00000
6632573516808144128	286.968306	-59.879700	-0.3758	 0.1027	0.2663	-3.0329	-3.3478	0.1337	0.1149	0.1229	0.1200	18.1647	0.9262	7.391	3	0.07086
6632573512513098624	286.977567	-59.880639	-0.3711	 0.1018	0.1759	-0.1390	-9.6609	0.0782	0.0640	0.0591	0.0922	17.1241	0.9115	7.442	3	0.00000
6632573443793616128	286.976872	-59.884679	-0.3714	 0.0978	0.7192	3.0084	-3.1038	0.1733	0.1426	0.1508	0.2130	18.5665	1.7238	7.452	3	0.00000
6632573443793618176	286.981863	-59.883119	-0.3689	 0.0994	-0.0057	2.7375	-2.6431	0.3724	0.3069	0.2970	0.1974	19.7410	1.2365	7.478	3	0.00000
6632573443793614208	286.984314	-59.886700	-0.3676	 0.0958	0.7977	14.1667	-16.376	0.1347	0.1127	0.1189	0.2108	18.1436	1.6449	7.51	3	0.00000
6632574715103993600	286.978159	-59.847587	-0.3712	 0.1349	0.2427	-1.0862	-4.9130	0.0792	0.0642	0.0596	0.0877	17.2051	0.8648	7.335	3	0.00000
6632574268427375232	286.967917	-59.859158	-0.3762	 0.1233	0.2036	-1.4799	1.2343	0.1954	0.1594	0.1729	0.1426	18.7255	1.1678	7.325	3	0.00000
