# source_id     	ra      	dec     	x	y	plx	pmra	pmdec	plxe	pmrae	pmdece	pmcorr	g_mag	bp_rp	Sigma	qflag	memberprob
5248750923951690752	138.594156	-64.851043	 0.2470	 0.0113	0.3132	-1.0414	2.5478	0.2331	0.2889	0.2722	0.2459	19.5222	1.9945	14.91	2	0.00000
5248750992664998400	138.591617	-64.850038	 0.2459	 0.0123	-0.2836	-2.5671	3.1854	0.3462	0.4771	0.4340	0.3375	19.8950	1.0973	14.97	1	0.00000
5248750928249837440	138.595985	-64.852777	 0.2478	 0.0096	0.7228	-6.7486	3.8072	0.0410	0.0508	0.0471	0.2040	16.5494	1.1321	14.87	3	0.00000
5248750034893138432	138.597958	-64.886913	 0.2483	-0.0246	-0.2878	-1.1809	4.3524	0.6568	0.8234	0.8691	0.1701	20.5788	1.2761	14.78	2	0.00000
5248750034897955328	138.596427	-64.885009	 0.2477	-0.0227	0.9158	-3.7063	6.9669	0.2909	0.4051	0.3504	0.3165	19.8357	2.4780	14.83	2	0.00000
5248750889585227392	138.601340	-64.863280	 0.2500	-0.0009	0.3659	-2.6321	-0.9347	0.4935	0.6956	0.5677	0.2701	20.4080	1.5326	14.76	2	0.00014
5248750893889857536	138.599419	-64.869639	 0.2491	-0.0073	1.3967	-9.4275	10.4866	0.0443	0.0554	0.0523	0.0933	15.8870	1.5087	14.8	1	0.00000
5248750893889856256	138.591358	-64.867742	 0.2457	-0.0054	0.1352	-2.8977	3.8074	0.0437	0.0517	0.0496	0.1369	16.7368	1.3054	15	3	0.00000
5248750893879961472	138.590740	-64.868456	 0.2454	-0.0061	0.9221	-4.9355	3.4199	0.4435	0.6255	0.5021	0.2680	20.1213	1.2154	15.01	0	0.00000
5248750923943348352	138.596776	-64.859040	 0.2481	 0.0033	0.1947	0.3967	11.7026	0.2014	0.2536	0.2356	0.2426	19.3378	1.4128	14.86	2	0.00000
5248750893889860864	138.596117	-64.861150	 0.2478	 0.0012	-0.0324	-3.4263	3.7577	0.2880	0.3585	0.3331	0.2209	19.8035	1.8715	14.88	2	0.00000
5248750996965030784	138.583344	-64.853533	 0.2424	 0.0089	1.3131	-2.4545	5.5496	1.1987	1.8269	1.9165	-0.0512	20.8074	1.0380	15.17	2	0.00315
5248750889582797952	138.583078	-64.858288	 0.2422	 0.0041	0.6393	-1.4062	6.0190	0.0098	0.0120	0.0110	0.1936	12.3984	1.4460	15.19	1	0.00000
5248750893889856512	138.585661	-64.862142	 0.2433	 0.0003	-0.0256	-2.5804	6.1034	0.2633	0.3258	0.2991	0.2038	19.5656	1.1910	15.13	3	0.00000
5248750889585226112	138.584039	-64.864807	 0.2426	-0.0024	1.5802	-4.9974	5.3466	0.5233	0.7022	0.7519	0.1988	20.5271	1.3894	15.17	2	0.00000
5248750893884011008	138.579256	-64.858794	 0.2406	 0.0036	-1.0725	1.2453	0.6909	1.3417	1.9199	2.3974	0.2858	20.7844	0.6226	15.27	0	0.70025
5248750133669333504	138.596882	-64.873960	 0.2480	-0.0116	0.2122	-5.2115	5.3423	0.1898	0.2531	0.2188	0.2225	19.2196	1.1784	14.85	3	0.00000
5248750133671528320	138.594976	-64.876461	 0.2471	-0.0141	0.5710	0.9403	1.4437	0.4395	0.6778	0.5394	0.2527	20.3884	0.7923	14.89	3	0.59569
5248750893889850752	138.581561	-64.871445	 0.2415	-0.0090	0.1000	-4.8680	6.0975	0.2122	0.2771	0.2444	0.1883	19.4028	1.1574	15.22	3	0.00000
